id,created_at,text
1202674246339575808x,2019-12-05 19:40:59,b'If you havent seen this yet do yourself a favor and spend the next 6 minutes watching.  My daughter absolutely love\xe2\x80\xa6 https://t.co/Yo52oPz7Jm'
1202673520196456449x,2019-12-05 19:38:06,b'@kevinlieber painful because tru.  it was time Kevin'
1202668737557516288x,2019-12-05 19:19:06,b'i love being home'
1202666570100555776x,2019-12-05 19:10:29,b'RT @MrBeastYT: According to Youtube Rewind we were the 7th most viewed creator this year \xf0\x9f\xa5\xb3 https://t.co/FV8N34Mxej'
1202666542376243205x,2019-12-05 19:10:22,"b""RT @SusanWojcicki: Last year, #YouTubeRewind didn't reflect the @YouTube you know....so this time around we took a different approach. Rewi\xe2\x80\xa6"""
1202659122207805440x,2019-12-05 18:40:53,b'@SarkyMastermind A beautiful bike'
1202658972701822976x,2019-12-05 18:40:18,b'@malwired @pewdiepie Actually that clip was in there'
1202658020204793857x,2019-12-05 18:36:30,b'i liked rewind 2019. not as sensational or produced as years passed but i appreciate;\n-not just same old faces (exc\xe2\x80\xa6 https://t.co/td5kbcyeyF'
1202634582295625728x,2019-12-05 17:03:22,b'@FaizelPatel143 thank you sir'
1202631637827084289x,2019-12-05 16:51:40,b'ITS HAPPENING \xf0\x9f\x8e\x82 https://t.co/66ILTs8u4l'
1202629935543701504x,2019-12-05 16:44:55,b'@jjeremymiller Well done!!!!'
1202612409501806592x,2019-12-05 15:35:16,b'it\xe2\x80\x99s almost time https://t.co/MCVze1OLLV'
1202612117091713024x,2019-12-05 15:34:06,b'@stevenspohn https://t.co/UhNysRQX4U'
1202610575756279809x,2019-12-05 15:27:59,b'@stevenspohn Im no scientist but why not do both?'
1202610132997136384x,2019-12-05 15:26:13,"b""RT @MrAshRobertson: I know people will moan that it's not as regular as before but I love seeing a notification for a new @Casey video. It'\xe2\x80\xa6"""
1202610118551957504x,2019-12-05 15:26:10,b'RT @ShimonMayerfeld: So nice to watch a good old @Casey vlog. Just chillin with @samsheffer. Fun watch!\nhttps://t.co/JstWFLWZLE'
1202610004659847169x,2019-12-05 15:25:43,b'start exercising.. then never stop.  -- https://t.co/uc5KQBTdmL https://t.co/JjJUxVgZiI'
1202408286412140544x,2019-12-05 02:04:09,b'tomorrow is little Franny\xe2\x80\x99s birthday. https://t.co/L984SRv9MF'
1202407679458566144x,2019-12-05 02:01:45,b'@Liron_Segev @candicepool Yep'
